n,msno,city,bd,gender,registered_via,registration_init_time,expiration_date,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,count,discount,is_churn
0,xG1bjTg+9vYFxFZ+2ui4yQ7vsvA6RxDvA5k06GhRtBM=,4,29,female,9,20070328,20170510,33,30,149,149,1,20160229,20160331,0,1,0,0
1,zgPOEyUn5a/Fvuzb3m69ajzxjkbblVtObglW89FzLdo=,13,43,female,9,20120703,20171006,39,31,149,149,1,20150131,20150306,0,1,0,0
2,7S9qg1roLXMOp+im6TbkXZi8WvksQig3++3SswKtkz4=,1,0,,7,20150802,20171002,41,30,149,149,1,20161202,20170102,0,1,0,0
3,9K68Qza7llbd98FFSOyNww0lvZnAH/ttSO74FSsWseI=,1,0,,7,20160410,20170217,41,30,149,149,1,20161010,20161110,0,1,0,1
4,t4/YjEply3sLwkLoDNHBr2vlgedbt/oYPqMkRu8yXJA=,1,0,,7,20160107,20171007,41,30,198,198,1,20161107,20160907,0,2,0,0
5,fq0LWcH6qQerntsk+zO1HMKD1aM4gSn1VRTyTG9+eIw=,13,30,female,9,20060305,20170910,37,30,149,149,1,20160711,20160810,0,1,0,0
6,l1Jq7Mv/pwKrjbRsvnR0v+jlufKs4BxZXYFR1DF3BvE=,14,29,male,3,20140107,20170930,33,0,0,149,1,20150731,20150831,0,1,0,0
7,zpEucNZlNwoqqSYFSTP/UBVYulNqcxRrQnKKXp/jrYU=,1,0,,7,20131114,20170930,41,30,99,99,1,20161231,20170131,0,1,0,0
8,duPGMqlbUzMQTavaIKeYS5UtCguvpWguSVp4SvfIOd4=,1,0,,7,20120406,20171007,41,30,149,149,1,20150905,20151007,0,1,0,0
9,AE7bTVlt9VNmYugMQprgQequRpvI06RQBAPnNJ6Lp6s=,1,0,,7,20111228,20171003,41,30,100,100,1,20170104,20170203,0,1,0,0
10,UQ2zIZxeZns0CW/bKhzkVgSDYvhCn1x4Yw6/Sde+16Y=,18,51,female,9,20100912,20170911,38,30,149,149,0,20150907,20151007,0,1,0,0
11,+1x90quayXba6Eab20tEkfrq7qY5Hu0O66mbWrDiN7c=,5,25,female,9,20090412,20170927,40,30,447,596,1,20160926,20150625,0,3,0,0
12,1hb6ubBXiboOihgPuj43ZKWSpCCyptTr9nnnp3MoWHE=,6,25,female,9,20080218,20171006,40,30,149,149,1,20161201,20170106,0,1,0,0
13,uVzNSlmIepIznyKBVo2TmG5TcGcpbu8Bgwh9dCr4Nf8=,1,0,,7,20100811,20170930,41,30,99,99,1,20160831,20160930,0,1,0,0
14,mjxezYg8xVz+eqng55r3WVQJ8dmXwHjsQLOoqUV4spQ=,13,17,male,4,20151007,20170930,31,30,149,149,1,20170131,20170228,0,1,0,0
15,LuFGeed20ICWp4LoeWebQbrL1N37ANZen34Vzk4s9xE=,4,24,male,9,20110716,20170922,38,30,149,149,0,20160122,20160221,0,1,0,0
16,T0p6tkqbPC0lqfA/r9d0PdiNjZkfEBxM5rAchsVzS7Y=,22,35,female,9,20060505,20171003,40,30,149,149,1,20151004,20151103,0,1,0,0
17,XQivS7CeJCY1cRNCJ0OMtWTc+crtnBZZLux6fOkZBRw=,1,0,,9,20150815,20170813,28,30,150,150,0,20160922,20161022,0,1,0,0
18,+OEF27NTBwduByQz2hujZZt95EV9LvIocPgr01B270A=,1,0,,7,20150725,20170814,41,30,99,99,1,20160225,20160325,0,1,0,0
19,RNfzelVPnEvnDxB1K1B9S+vlL3wb+eKnzTurxqtHTPI=,15,29,male,7,20121214,20171004,41,30,149,149,1,20161206,20170106,0,1,0,0
20,9wV7AtrFbzmrFz5OD+U0zy2SXIiqOetWfu2ZfG3/RDc=,14,34,female,9,20090905,20171013,39,30,149,149,1,20161231,20170213,0,1,0,0
21,Bar3dUNF6CbIqC2oESnLFNoTN8xWziedMLhbVYQkW1w=,1,0,,7,20110419,20171006,41,30,149,149,1,20150317,20150418,0,1,0,0
22,gLzrJ+K+rdOxZn+CNSJTdtV7hT8gRPuh8xzZdgTmxHI=,5,29,female,3,20120322,20170926,40,31,149,149,1,20150103,20150203,0,1,0,0
23,eik7lcEqxFijxyqCYVhAwRQUie3rWRGy4w8+v+QC4H8=,1,0,,7,20110106,20171006,41,30,149,149,1,20150705,20150806,0,1,0,0
24,IonYycFpJq712EpbdXrLQ1WPZazBfMLQLeoejxpTG14=,13,32,female,7,20110510,20170910,41,0,0,129,1,20150509,20150610,0,1,0,0
25,6AGqTUMZKLvNTY0n9Fkrg19NlywH1dPk+9fc7MJH080=,13,17,female,9,20100213,20171016,39,30,149,149,1,20150930,20151116,0,1,0,0
26,QPxUN/IWPpjzP6aX3fjpvl38rjDeUAaYytsy2Pq8I+g=,1,0,,7,20140215,20171001,41,30,99,99,1,20170101,20170201,0,1,0,0
27,4FMXBGs63xXIBE+cStVswT59EFVHKHtIdvHzGmyTCjA=,22,22,male,3,20131027,20170720,38,30,149,149,0,20160719,20160818,0,1,0,0
28,fS6X2NO+T3VGt9AdRjJJU7VUIbgRsxxr/qIIF8cyWkQ=,5,22,,9,20150920,20170930,38,30,149,149,0,20160321,20160420,0,1,0,0
29,VmcdLvHgqdNXUsOqcfFtV0rweIDjq2i524QOBN3fZEY=,18,34,male,9,20080710,20170926,39,30,149,149,1,20150930,20151114,0,1,0,0
30,meZbTxr3ziuV5/y4eqk6sBEX9TUm0ODfLQqqzvfjFmM=,1,0,,7,20150827,20170330,41,30,149,0,1,20150827,20150926,0,1,149,0
31,2iSJFD/YjG71UcPSUDC32AJZeV+c7dFJGFGy9++4600=,15,21,female,3,20141031,20170923,37,30,149,149,1,20160424,20160523,0,1,0,0
32,bT95M49vw2L0++gbsrUShS2WXjSgfhCjpytEkEmDrQQ=,1,0,,7,20130224,20170923,41,30,149,149,1,20160923,20161023,0,1,0,0
33,7gW2ivpShUFApf+g3aNkTmgQZdSKl5vmhuYErPTjhUk=,13,27,male,3,20151120,20171012,40,30,149,149,1,20160907,20161006,0,1,0,1
34,BV06cGZ6ZiRtcTT57MFgEPpbMozHssWsHkudg84nSZA=,15,27,female,9,20080317,20171018,39,30,149,149,1,20150930,20151118,0,1,0,0
35,v8vTeKIrbqOp90tnmbo5vQ/Gy1TFeUkfNRHuJ1lIWzs=,13,34,female,9,20120102,20170922,40,30,149,149,1,20150723,20150822,0,1,0,0
